Legislative District,Turnout_Registered Voters,Turnout_Ballots Cast,Turnout_%,President/Vice President_Joseph R. Biden / Kamala D. Harris,President/Vice President_Donald J. Trump / Michael R. Pence,"President/Vice President_Jo Jorgensen / Jeremy ""Spike"" Cohen",President/Vice President_Howie Hawkins / Angela Walker,President/Vice President_Gloria La Riva / Sunil Freeman,President/Vice President_Alyson Kennedy / Malcolm M. Jarrett,President/Vice President_Write-in,Governor_Jay Inslee,Governor_Loren Culp,Governor_Write-in
1,"106,217","93,372",87.90%,"62,011","27,575","1,843",397,83,37,703,"59,793","31,768",367
2,"106,280","86,171",81.10%,"35,289","47,157","2,229",353,67,50,572,"33,043","51,807",281
3,"91,050","70,214",77.10%,"39,922","26,940","1,818",461,121,96,506,"39,184","29,945",269
4,"113,683","93,601",82.30%,"36,525","53,123","2,324",352,77,41,628,"35,132","57,264",309
5,"110,814","97,471",88.00%,"57,868","35,379","2,209",333,50,44,777,"54,640","40,964",337
6,"107,630","90,057",83.70%,"44,883","41,319","2,096",348,91,46,726,"43,678","44,981",337
7,"106,783","89,895",84.20%,"28,309","58,375","1,703",268,63,43,504,"26,705","61,991",264
8,"100,696","82,892",82.30%,"32,595","46,342","2,280",317,95,46,637,"31,306","50,202",339
9,"85,769","71,484",83.30%,"27,886","40,531","1,605",283,60,45,453,"26,734","43,572",235
10,"111,652","96,776",86.70%,"49,457","43,329","2,150",351,83,44,657,"47,186","48,106",287
11,"89,463","72,288",80.80%,"50,475","19,212","1,113",319,91,46,466,"49,641","20,958",218
12,"93,009","79,217",85.20%,"33,648","42,869","1,237",275,71,44,491,"31,240","46,678",318
13,"84,351","70,022",83.00%,"24,302","43,145","1,333",224,71,35,399,"22,223","46,705",223
14,"86,902","69,841",80.40%,"30,673","36,693","1,103",233,80,49,419,"29,262","39,302",213
15,"66,014","48,489",73.50%,"22,124","24,801",704,166,89,46,195,"21,202","26,468",121
16,"77,960","63,144",81.00%,"25,180","35,353","1,369",201,91,34,338,"24,209","37,815",186
17,"104,127","87,351",83.90%,"43,637","40,468","1,727",340,73,42,602,"43,066","42,372",234
18,"115,185","101,214",87.90%,"47,030","50,547","1,835",308,68,42,729,"45,785","53,508",221
19,"92,751","76,034",82.00%,"33,132","40,057","1,493",322,64,62,361,"31,183","43,678",238
20,"103,227","87,255",84.50%,"28,956","54,990","1,790",340,79,41,463,"27,255","58,868",234
21,"98,061","83,575",85.20%,"55,372","24,976","1,525",368,94,46,581,"53,754","28,237",291
22,"112,393","95,281",84.80%,"62,311","28,830","1,963",630,206,69,662,"61,009","32,436",338
23,"106,338","90,342",85.00%,"56,406","29,815","2,448",380,74,50,581,"55,186","33,696",257
24,"112,030","95,945",85.60%,"51,330","41,150","1,614",500,114,73,471,"50,358","44,342",202
25,"98,284","81,075",82.50%,"40,299","37,260","1,897",343,89,60,563,"38,158","41,547",301
26,"108,759","93,338",85.80%,"47,219","41,729","2,513",389,74,59,698,"45,117","46,729",315
27,"95,771","79,389",82.90%,"55,161","20,913","1,559",468,143,51,597,"53,706","24,154",337
28,"90,643","73,440",81.00%,"42,010","28,026","1,784",316,87,50,609,"40,730","31,181",307
29,"82,472","61,200",74.20%,"35,822","22,629","1,476",392,117,77,385,"34,793","25,214",243
30,"84,706","66,744",78.80%,"39,520","24,741","1,181",292,79,42,371,"38,524","26,873",210
31,"107,641","91,305",84.80%,"41,303","46,447","1,902",336,45,45,585,"38,109","51,889",285
32,"98,892","85,336",86.30%,"63,882","18,385","1,217",451,113,49,623,"62,664","21,059",220
33,"83,210","65,502",78.70%,"44,662","18,465","1,037",310,90,51,341,"43,754","20,267",198
34,"109,110","94,975",87.00%,"77,869","14,243","1,120",413,136,63,519,"76,155","16,922",253
35,"104,742","88,908",84.90%,"42,694","42,326","2,204",430,86,54,556,"40,823","46,839",289
36,"122,274","109,793",89.80%,"96,778","9,714","1,300",559,156,62,617,"94,908","12,862",281
37,"104,883","86,286",82.30%,"74,478","9,303",650,502,193,79,463,"74,445","9,947",210
38,"87,957","71,255",81.00%,"41,500","26,583","1,647",397,128,56,505,"39,616","30,492",280
39,"102,166","86,029",84.20%,"37,249","44,753","2,277",388,111,63,596,"34,385","50,439",312
40,"104,336","92,471",88.60%,"62,390","26,438","1,657",484,153,61,629,"61,162","29,846",230
41,"103,844","90,205",86.90%,"63,836","22,942","1,368",314,55,24,705,"62,206","25,766",291
42,"109,764","95,621",87.10%,"50,694","41,146","1,779",443,104,60,668,"49,336","44,850",302
43,"115,478","101,215",87.60%,"91,614","6,417","1,029",651,291,70,544,"90,781","8,544",251
44,"107,181","92,814",86.60%,"51,636","37,069","2,176",399,76,46,735,"48,565","42,788",354
45,"102,098","90,413",88.60%,"62,921","23,729","1,722",315,65,23,743,"60,698","27,655",344
46,"109,303","97,385",89.10%,"82,192","11,908","1,219",537,160,47,621,"80,722","14,728",309
47,"94,452","76,614",81.10%,"44,286","29,414","1,388",300,70,54,455,"43,014","32,094",204
48,"87,654","75,029",85.60%,"53,699","18,252","1,292",338,73,19,629,"52,722","20,345",255
49,"94,866","78,621",82.90%,"46,577","28,843","1,595",453,91,51,574,"46,376","30,373",245
