"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density"
2023,6037,9818605,10072629,"California","CA",0.025871699696647266,"Los Angeles County","Los Angeles County","los-angeles-county-ca",4058,2482.1658452439624
2023,17031,5194675,5299802,"Illinois","IL",0.020237454701208524,"Cook County","Cook County","cook-county-il",945,5608.256084656085
2023,48201,4092459,4922752,"Texas","TX",0.2028836452607099,"Harris County","Harris County","harris-county-tx",1705,2887.2445747800584
2023,4013,3817117,4601603,"Arizona","AZ",0.2055179340848079,"Maricopa County","Maricopa County","maricopa-county-az",9200,500.1742391304348
2023,6073,3095313,3359630,"California","CA",0.08539265657463391,"San Diego County","San Diego County","san-diego-county-ca",4207,798.5809365343475
2023,6059,3010232,3240017,"California","CA",0.07633464796068878,"Orange County","Orange County","orange-county-ca",791,4096.102402022756
2023,36047,2504700,2805485,"New York","NY",0.12008823411985459,"Kings County","Kings County","kings-county-ny",70,40078.357142857145
2023,12086,2496435,2763366,"Florida","FL",0.10692487487156677,"Miami-Dade County","Miami-Dade County","miami--dade-county-fl",1899,1455.169036334913
2023,48113,2368139,2687159,"Texas","TX",0.1347133761996233,"Dallas County","Dallas County","dallas-county-tx",873,3078.0744558991983
2023,6065,2189641,2486747,"California","CA",0.13568708295104082,"Riverside County","Riverside County","riverside-county-ca",7206,345.093949486539
2023,36081,2230722,2457886,"New York","NY",0.10183429400884547,"Queens County","Queens County","queens-county-ny",109,22549.4128440367
2023,53033,1931249,2371204,"Washington","WA",0.22780853219859276,"King County","King County","king-county-wa",2116,1120.6068052930057
2023,32003,1951269,2359718,"Nevada","NV",0.2093248034996713,"Clark County","Clark County","clark-county-nv",7891,299.0391585350399
2023,6071,2035210,2225586,"California","CA",0.09354120704988667,"San Bernardino County","San Bernardino County","san-bernardino-county-ca",20057,110.96305529241661
2023,48439,1809034,2201123,"Texas","TX",0.21673943109969196,"Tarrant County","Tarrant County","tarrant-county-tx",864,2547.596064814815
2023,48029,1714773,2097689,"Texas","TX",0.2233041924499628,"Bexar County","Bexar County","bexar-county-tx",1240,1691.6846774193548
2023,12011,1748066,2003268,"Florida","FL",0.1459910552576391,"Broward County","Broward County","broward-county-fl",1207,1659.708367854184
2023,6085,1781642,1982645,"California","CA",0.11281896138505942,"Santa Clara County","Santa Clara County","santa-clara-county-ca",1290,1536.9341085271317
2023,26163,1820584,1785455,"Michigan","MI",-0.019295456842419845,"Wayne County","Wayne County","wayne-county-mi",612,2917.4101307189544
2023,6001,1510271,1733977,"California","CA",0.1481230851946438,"Alameda County","Alameda County","alameda-county-ca",739,2346.382949932341
2023,36061,1585873,1726765,"New York","NY",0.08884191861517277,"New York County","New York County","new-york-county-ny",23,75076.73913043478
2023,25017,1503085,1670678,"Massachusetts","MA",0.11149934967084363,"Middlesex County","Middlesex County","middlesex-county-ma",818,2042.393643031785
2023,6067,1418788,1634936,"California","CA",0.15234693273413646,"Sacramento County","Sacramento County","sacramento-county-ca",965,1694.2341968911917
2023,42101,1526006,1627134,"Pennsylvania","PA",0.0662697263313512,"Philadelphia County","Philadelphia County","philadelphia-county-pa",134,12142.791044776119
2023,12099,1320134,1543809,"Florida","FL",0.1694335575024959,"Palm Beach County","Palm Beach County","palm-beach-county-fl",1970,783.6593908629442
2023,36103,1493350,1535691,"New York","NY",0.0283530317741989,"Suffolk County","Suffolk County","suffolk-county-ny",912,1683.8717105263158
2023,12057,1229226,1528924,"Florida","FL",0.24381033268089025,"Hillsborough County","Hillsborough County","hillsborough-county-fl",1020,1498.9450980392157
2023,12095,1145956,1515093,"Florida","FL",0.32212144270809695,"Orange County","Orange County","orange-county-fl",903,1677.843853820598
2023,36005,1385108,1498919,"New York","NY",0.082167599927226,"Bronx County","Bronx County","bronx-county-ny",42,35688.54761904762
2023,36059,1339532,1412646,"New York","NY",0.054581749446821703,"Nassau County","Nassau County","nassau-county-ny",285,4956.652631578947
2023,39049,1163414,1371924,"Ohio","OH",0.1792225295552572,"Franklin County","Franklin County","franklin-county-oh",532,2578.8045112781956
2023,48453,1024266,1369964,"Texas","TX",0.33750803014060793,"Travis County","Travis County","travis-county-tx",992,1381.0120967741937
2023,27053,1152425,1320307,"Minnesota","MN",0.14567715903421052,"Hennepin County","Hennepin County","hennepin-county-mn",554,2383.225631768953
2023,26125,1202362,1296004,"Michigan","MI",0.07788170284822704,"Oakland County","Oakland County","oakland-county-mi",867,1494.8143021914648
2023,39035,1280122,1260227,"Ohio","OH",-0.015541487451977254,"Cuyahoga County","Cuyahoga County","cuyahoga-county-oh",457,2757.608315098468
2023,42003,1223348,1258747,"Pennsylvania","PA",0.028936165342976716,"Allegheny County","Allegheny County","allegheny-county-pa",730,1724.3109589041096
2023,49035,1029655,1231912,"Utah","UT",0.19643181453982161,"Salt Lake County","Salt Lake County","salt-lake-county-ut",742,1660.2587601078167
2023,6013,1049025,1200997,"California","CA",0.1448697600152522,"Contra Costa County","Contra Costa County","contra-costa-county-ca",723,1661.1300138312586
2023,37183,900993,1197936,"North Carolina","NC",0.329573037748351,"Wake County","Wake County","wake-county-nc",835,1434.653892215569
2023,37119,919628,1174237,"North Carolina","NC",0.276860861130805,"Mecklenburg County","Mecklenburg County","mecklenburg-county-nc",523,2245.195028680688
2023,51059,1081726,1170883,"Virginia","VA",0.08242105671861455,"Fairfax County","Fairfax County","fairfax-county-va",391,2994.5856777493605
2023,48085,782341,1149101,"Texas","TX",0.46879813278353044,"Collin County","Collin County","collin-county-tx",841,1366.3507728894174
2023,13121,920581,1110549,"Georgia","GA",0.20635663781894253,"Fulton County","Fulton County","fulton-county-ga",527,2107.303605313093
2023,24031,971777,1089145,"Maryland","MD",0.12077668024659971,"Montgomery County","Montgomery County","montgomery-county-md",493,2209.21906693712
2023,4019,980263,1062384,"Arizona","AZ",0.0837744564468923,"Pima County","Pima County","pima-county-az",9187,115.63992598236639
2023,15003,953207,1035498,"Hawaii","HI",0.08633067109242809,"Honolulu County","Honolulu County","honolulu-county-hi",601,1722.9584026622297
2023,12031,864263,1034957,"Florida","FL",0.19750238064107806,"Duval County","Duval County","duval-county-fl",763,1356.4311926605506
2023,6019,930450,1032114,"California","CA",0.10926325971304207,"Fresno County","Fresno County","fresno-county-ca",5959,173.20255076355093
2023,36119,949113,1021059,"New York","NY",0.07580340802412366,"Westchester County","Westchester County","westchester-county-ny",431,2369.046403712297
2023,29189,998954,1005676,"Missouri","MO",0.006729038574348811,"St. Louis County","St. Louis County","st-louis-county-mo",508,1979.6771653543308
2023,13135,805321,1002584,"Georgia","GA",0.24494952944229698,"Gwinnett County","Gwinnett County","gwinnett-county-ga",430,2331.5906976744186
