Task,Size,Time,Language
Sort,Small,0.0096020698547363,Python
Filter,Small,0.0041368007659912,Python
Aggregate,Small,0.0040240287780761,Python
Join,Small,0.0073769092559814,Python
Sort,Medium,0.1429769992828369,Python
Filter,Medium,0.0346341133117675,Python
Aggregate,Medium,0.020637035369873,Python
Join,Medium,0.0756061077117919,Python
Sort,Large,2.112412214279175,Python
Filter,Large,0.3005340099334717,Python
Aggregate,Large,0.221390962600708,Python
Join,Large,1.173557996749878,Python
Sort,Small,4.006971,R
Filter,Small,2.4394385,R
Aggregate,Small,2.962824,R
Join,Small,3.319524,R
Sort,Medium,51.2356295,R
Filter,Medium,22.427328,R
Aggregate,Medium,14.7057775,R
Join,Medium,14.5995875,R
Sort,Large,757.344907,R
Filter,Large,233.964081,R
Aggregate,Large,132.577026,R
Join,Large,151.631202,R
Join,Large,0.092237,Go
Aggregate,Small,3.1e-05,Go
Join,Small,0.003243,Go
Filter,Medium,0.00032,Go
Join,Medium,0.011164,Go
Sort,Large,2.119978,Go
Filter,Large,0.00326,Go
Aggregate,Large,0.003243,Go
Sort,Small,0.015842,Go
Filter,Small,3.2e-05,Go
Sort,Medium,0.187276,Go
Aggregate,Medium,0.000325,Go
Sort,Small,0.4990749359130859,Julia
Filter,Small,0.106868028640747,Julia
Aggregate,Small,1.4571871757507324,Julia
Join,Small,0.1649801731109619,Julia
Sort,Medium,0.1490919589996338,Julia
Filter,Medium,0.100611925125122,Julia
Aggregate,Medium,0.003976821899414,Julia
Join,Medium,0.0101358890533447,Julia
Sort,Large,2.4337260723114014,Julia
Filter,Large,0.8929581642150879,Julia
Aggregate,Large,0.0605700016021728,Julia
Join,Large,0.0937728881835937,Julia
Sort,Small,0.361348708,Scala
Filter,Small,0.25906925,Scala
Aggregate,Small,0.405203542,Scala
Join,Small,0.264091209,Scala
Sort,Medium,0.1541935,Scala
Filter,Medium,0.229412042,Scala
Aggregate,Medium,0.318969333,Scala
Join,Medium,0.255706833,Scala
Sort,Large,0.3850745,Scala
Filter,Large,0.887208834,Scala
Aggregate,Large,0.982455292,Scala
Join,Large,1.26238175,Scala
Sort,Small,0.000615,PostgreSQL
Filter,Small,0.000348,PostgreSQL
Join,Small,0.00107,PostgreSQL
Aggregate,Small,0.008893,PostgreSQL
Filter,Medium,0.000124,PostgreSQL
Join,Medium,0.00076,PostgreSQL
Sort,Medium,0.001143,PostgreSQL
Aggregate,Medium,0.091966,PostgreSQL
Join,Large,0.002278,PostgreSQL
Sort,Large,0.000407,PostgreSQL
Aggregate,Large,0.987967,PostgreSQL
Filter,Large,0.001136,PostgreSQL
